"[1.125 1.502 0.440 0.259 2.947 0.000 1.078 0.773 0.073 0.000 1.099 0.775
 -1.000 0.738 1.000]",,
,0.2944853791525993,
,,0.29448502130518506
"[1.777 0.000 0.024 0.000 0.000 0.000 0.000 0.000 0.000 1.310 1.925 0.000
 1.000 -0.301 -0.432]",,
,0.2940294156407867,
,,0.29402902375029294
"[0.000 0.208 0.000 0.068 0.000 0.301 0.000 1.824 0.000 0.000 0.000 0.172
 0.112 -1.000 0.193]",,
,0.29439286602647335,
,,0.2943927477725063
"[1.569 0.000 0.682 0.000 0.000 0.000 1.156 0.000 0.000 0.426 2.477 0.000
 0.247 0.339 -0.371]",,
,0.294574726355722,
,,0.2945737421305233
"[0.000 0.793 0.000 0.200 0.000 1.323 0.625 0.000 0.227 0.191 2.524 0.750
 -0.328 -1.000 1.000]",,
,0.2942835614559622,
,,0.29428236194402224
"[1.187 1.234 0.025 0.000 0.193 0.126 1.461 0.000 0.000 0.000 0.000 0.129
 -1.000 0.048 1.000]",,
,0.2942996144363447,
,,0.2942996144350288
"[0.000 0.000 1.355 0.244 2.061 1.162 0.939 1.473 0.195 2.715 0.000 0.697
 0.176 -0.326 1.000]",,
,0.29440400800356725,
,,0.2944039515796593
"[0.000 0.895 0.400 0.000 0.640 0.513 0.974 0.000 0.192 0.000 0.000 0.000
 0.711 -0.012 -0.141]",,
,0.2941326154720957,
,,0.29413228484567167
"[0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.045 0.624 0.573 0.000
 0.687 -0.713 -0.279]",,
,0.2956090948707839,
,,0.29558475926835587
"[0.000 0.000 0.200 0.242 2.653 1.581 0.540 0.000 0.000 1.410 2.783 1.013
 1.000 -0.812 -1.000]",,
,0.29441555837470795,
,,0.29441372723269454
"[0.027 0.000 0.000 0.802 0.000 0.000 1.769 1.052 0.554 0.000 0.416 0.400
 1.000 0.295 -0.130]",,
,0.29149948207265647,
,,0.2914878176804401
"[0.000 1.616 0.000 1.040 0.000 0.000 1.242 0.000 0.953 0.711 0.000 0.000
 -0.865 -1.000 0.058]",,
,0.29262822233975566,
,,0.292625025593695
"[0.000 0.000 0.186 0.467 0.340 0.000 0.000 0.000 0.000 2.064 0.000 0.000
 0.792 0.133 -0.785]",,
,0.2942042603911407,
,,0.29420422936714313
"[1.198 0.420 0.000 0.000 0.974 0.008 1.436 1.688 0.000 0.000 0.000 0.000
 1.000 0.011 -1.000]",,
,0.2941683623039147,
,,0.29416646815841474
"[0.460 0.877 0.000 0.614 0.000 0.000 0.934 0.000 0.647 0.000 0.000 1.043
 -0.237 1.000 0.519]",,
,0.29361362525865625,
,,0.29361276719207574
"[0.000 0.000 0.000 0.000 1.196 0.000 0.292 0.266 0.000 2.062 1.452 0.000
 1.000 -0.387 0.325]",,
,0.2938839041736028,
,,0.2938837125511678
"[0.000 0.801 0.000 0.000 0.000 3.488 2.475 0.790 0.496 0.000 0.161 0.000
 1.000 0.724 1.000]",,
,0.29434949074934874,
,,0.2943492202797089
"[0.000 0.000 0.615 0.000 0.000 1.508 0.000 0.842 0.949 0.901 0.450 0.000
 -0.754 1.000 -0.557]",,
,0.2944222424687997,
,,0.29442126302196386
"[0.106 4.226 0.475 0.715 0.668 0.905 1.003 0.000 0.576 0.000 0.702 0.972
 0.231 0.897 -1.000]",,
,0.2942991845623097,
,,0.29429914249431854
"[0.029 0.367 0.088 0.353 1.186 0.304 0.460 0.000 0.000 0.094 1.998 0.776
 0.774 -1.000 -1.000]",,
,0.2944800245671374,
,,0.2944800013451739
"[0.000 1.045 0.000 0.000 0.000 0.000 1.198 0.520 1.078 0.000 0.725 0.000
 -0.001 -0.350 1.000]",,
,0.29317503120679567,
,,0.2931737024391203
"[1.004 0.758 0.000 1.409 1.408 0.000 2.386 2.324 0.000 0.628 0.000 0.000
 -0.122 -0.807 -0.530]",,
,0.2942788830680025,
,,0.2942788826246362
"[0.000 0.000 0.812 0.000 0.000 0.000 1.971 0.000 0.951 0.191 0.000 0.000
 0.177 0.838 -0.194]",,
,0.2944952916662673,
,,0.2944952623106214
"[0.685 0.069 0.000 0.000 0.000 1.193 0.000 0.000 0.000 2.201 0.495 0.000
 0.533 0.593 1.000]",,
,0.2930242970145685,
,,0.29302378096025955
"[0.000 0.761 0.000 0.000 0.000 0.690 0.822 0.000 0.564 0.329 0.000 0.058
 0.930 -0.439 -0.623]",,
,0.29430008195701757,
,,0.2943000819568019
